timestamp,package_id,gps_coords,temperature,status
2025-06-02T21:28:45I0,PKG001,"(10.605951, 125.973822)",27 C,Delayed
2025-06-02T21:28:45I1,PKG002,"(10.885696, 116.90779)",26 C,Delivered
2025-06-02T21:28:45I2,PKG003,"(5.303783, 125.195228)",25 C,Delayed
2025-06-02T21:28:45I3,PKG004,"(17.581634, 118.104752)",26 C,Delivered
2025-06-02T21:28:45I4,PKG005,"(18.422468, 119.318249)",24 C,Delivered
2025-06-02T21:28:45I5,PKG006,"(8.259595, 116.340909)",26 C,Delayed
2025-06-02T21:28:45I6,PKG007,"(10.815292, 121.30935)",24 C,Delayed
2025-06-02T21:28:45I7,PKG008,"(18.539761, 125.82701)",24 C,In Transit
2025-06-02T21:28:45I8,PKG009,"(9.36577, 125.331762)",25 C,Delivered
2025-06-02T21:28:45I9,PKG010,"(16.787383, 116.214563)",26 C,In Transit
2025-06-02T21:28:45I10,PKG011,"(13.969261, 123.278993)",28 C,In Transit
2025-06-02T21:28:45I11,PKG012,"(11.052513, 118.697604)",27 C,Delivered
2025-06-02T21:28:45I12,PKG013,"(18.22132, 117.518692)",24 C,In Transit
2025-06-02T21:28:45I13,PKG014,"(14.679169, 121.19022)",27 C,Delivered
2025-06-02T21:28:45I14,PKG015,"(14.516969, 119.595455)",30 C,Delivered
2025-06-02T21:28:45I15,PKG016,"(19.265088, 123.648937)",30 C,Delayed
2025-06-02T21:28:45I16,PKG017,"(20.590644, 122.368537)",30 C,Delivered
2025-06-02T21:28:45I17,PKG018,"(10.082604, 121.709323)",30 C,Delayed
2025-06-02T21:28:45I18,PKG019,"(11.39583, 118.398237)",25 C,Delivered
2025-06-02T21:28:45I19,PKG020,"(19.124152, 126.118644)",26 C,In Transit
2025-06-02T21:28:45I20,PKG021,"(10.445289, 124.857005)",26 C,Delayed
2025-06-02T21:28:45I21,PKG022,"(11.642365, 125.1514)",24 C,Delayed
2025-06-02T21:28:45I22,PKG023,"(9.49359, 116.743664)",28 C,In Transit
2025-06-02T21:28:45I23,PKG024,"(16.351255, 124.468832)",30 C,Delivered
2025-06-02T21:28:45I24,PKG025,"(15.492101, 121.417927)",30 C,Delivered
2025-06-02T21:28:45I25,PKG026,"(11.192204, 116.597877)",30 C,In Transit
2025-06-02T21:28:45I26,PKG027,"(8.728711, 120.524669)",27 C,Delivered
2025-06-02T21:28:45I27,PKG028,"(18.713065, 124.650481)",25 C,Delivered
2025-06-02T21:28:45I28,PKG029,"(14.922085, 118.413553)",30 C,Delayed
2025-06-02T21:28:45I29,PKG030,"(14.793881, 121.352971)",29 C,In Transit
2025-06-02T21:28:45I30,PKG031,"(5.317918, 122.667163)",27 C,Delivered
2025-06-02T21:28:45I31,PKG032,"(11.060018, 118.301654)",30 C,In Transit
2025-06-02T21:28:45I32,PKG033,"(19.479952, 125.939363)",24 C,Delivered
2025-06-02T21:28:45I33,PKG034,"(8.409429, 123.780593)",30 C,In Transit
2025-06-02T21:28:45I34,PKG035,"(17.591128, 119.479214)",29 C,Delayed
2025-06-02T21:28:45I35,PKG036,"(13.741158, 119.097349)",28 C,Delayed
2025-06-02T21:28:45I36,PKG037,"(20.531325, 118.158376)",26 C,In Transit
2025-06-02T21:28:45I37,PKG038,"(10.668823, 123.946859)",28 C,In Transit
2025-06-02T21:28:45I38,PKG039,"(10.188191, 124.3309)",28 C,In Transit
2025-06-02T21:28:45I39,PKG040,"(6.268411, 124.709483)",28 C,Delayed
2025-06-02T21:28:45I40,PKG041,"(7.052069, 125.140745)",30 C,Delivered
2025-06-02T21:28:45I41,PKG042,"(8.143188, 117.587645)",29 C,In Transit
2025-06-02T21:28:45I42,PKG043,"(13.006796, 121.929054)",28 C,In Transit
2025-06-02T21:28:45I43,PKG044,"(8.724281, 119.746235)",30 C,In Transit
2025-06-02T21:28:45I44,PKG045,"(18.43112, 120.738231)",29 C,Delivered
2025-06-02T21:28:45I45,PKG046,"(17.978422, 116.508356)",24 C,In Transit
2025-06-02T21:28:45I46,PKG047,"(15.264466, 117.040114)",24 C,Delayed
2025-06-02T21:28:45I47,PKG048,"(20.74455, 126.772769)",29 C,In Transit
2025-06-02T21:28:45I48,PKG049,"(6.411989, 116.8629)",24 C,Delayed
2025-06-02T21:28:45I49,PKG050,"(5.161018, 122.570954)",25 C,Delayed
